hog_graph_index,sdp_seed,p,logs,status
71,5000042,3,0,0
71,5000042,5,0,0
71,6000042,3,0,0
71,6000042,5,0,0
71,7000042,3,0,0
71,7000042,5,0,0
71,8000042,3,0,0
71,8000042,5,0,0
71,9000042,3,0,0
71,9000042,5,0,0
72,42,3,0,0
72,42,5,0,0
72,1000042,3,0,0
72,1000042,5,0,0
72,2000042,3,0,0
72,2000042,5,0,0
72,3000042,3,0,0
72,3000042,5,0,0
72,4000042,3,0,0
72,4000042,5,0,0
72,5000042,3,0,0
72,5000042,5,0,0
72,6000042,3,0,0
72,6000042,5,0,0
72,7000042,3,0,0
72,7000042,5,0,0
72,8000042,3,0,0
72,8000042,5,0,0
72,9000042,3,0,0
72,9000042,5,0,0
73,42,3,0,0
73,42,5,0,0
73,1000042,3,0,0
73,1000042,5,0,0
73,2000042,3,0,0
73,2000042,5,0,0
73,3000042,3,0,0
73,3000042,5,0,0
73,4000042,3,0,0
73,4000042,5,0,0
73,5000042,3,0,0
73,5000042,5,0,0
73,6000042,3,0,0
73,6000042,5,0,0
73,7000042,3,0,0
73,7000042,5,0,0
73,8000042,3,0,0
73,8000042,5,0,0
73,9000042,3,0,0
73,9000042,5,0,0
74,42,3,0,0
74,42,5,0,0
74,1000042,3,0,0
74,1000042,5,0,0
74,2000042,3,0,0
74,2000042,5,0,0
74,3000042,3,0,0
74,3000042,5,0,0
74,4000042,3,0,0
74,4000042,5,0,0
74,5000042,3,0,0
74,5000042,5,0,0
74,6000042,3,0,0
74,6000042,5,0,0
74,7000042,3,0,0
74,7000042,5,0,0
74,8000042,3,0,0
74,8000042,5,0,0
74,9000042,3,0,0
74,9000042,5,0,0
75,42,3,0,0
75,42,5,0,0
75,1000042,3,0,0
75,1000042,5,0,0
75,2000042,3,0,0
75,2000042,5,0,0
75,3000042,3,0,0
75,3000042,5,0,0
75,4000042,3,0,0
75,4000042,5,0,0
75,5000042,3,0,0
75,5000042,5,0,0
75,6000042,3,0,0
75,6000042,5,0,0
75,7000042,3,0,0
75,7000042,5,0,0
75,8000042,3,0,0
75,8000042,5,0,0
75,9000042,3,0,0
75,9000042,5,0,0
76,42,3,0,0
76,42,5,0,0
76,1000042,3,0,0
76,1000042,5,0,0
76,2000042,3,0,0
76,2000042,5,0,0
76,3000042,3,0,0
76,3000042,5,0,0
76,4000042,3,0,0
76,4000042,5,0,0
76,5000042,3,0,0
76,5000042,5,0,0
76,6000042,3,0,0
76,6000042,5,0,0
76,7000042,3,0,0
76,7000042,5,0,0
76,8000042,3,0,0
76,8000042,5,0,0
76,9000042,3,0,0
76,9000042,5,0,0
77,42,3,0,0
77,42,5,0,0
77,1000042,3,0,0
77,1000042,5,0,0
77,2000042,3,0,0
77,2000042,5,0,0
77,3000042,3,0,0
77,3000042,5,0,0
77,4000042,3,0,0
77,4000042,5,0,0
77,5000042,3,0,0
77,5000042,5,0,0
77,6000042,3,0,0
77,6000042,5,0,0
77,7000042,3,0,0
77,7000042,5,0,0
77,8000042,3,0,0
77,8000042,5,0,0
77,9000042,3,0,0
77,9000042,5,0,0
78,42,3,0,0
78,42,5,0,0
78,1000042,3,0,0
78,1000042,5,0,0
78,2000042,3,0,0
78,2000042,5,0,0
78,3000042,3,0,0
78,3000042,5,0,0
78,4000042,3,0,0
78,4000042,5,0,0
78,5000042,3,0,0
78,5000042,5,0,0
78,6000042,3,0,0
78,6000042,5,0,0
78,7000042,3,0,0
78,7000042,5,0,0
78,8000042,3,0,0
78,8000042,5,0,0
78,9000042,3,0,0
78,9000042,5,0,0
79,42,3,0,0
79,42,5,0,0
79,1000042,3,0,0
79,1000042,5,0,0
79,2000042,3,0,0
79,2000042,5,0,0
79,3000042,3,0,0
79,3000042,5,0,0
79,4000042,3,0,0
79,4000042,5,0,0
79,5000042,3,0,0
79,5000042,5,0,0
79,6000042,3,0,0
79,6000042,5,0,0
79,7000042,3,0,0
79,7000042,5,0,0
79,8000042,3,0,0
79,8000042,5,0,0
79,9000042,3,0,0
79,9000042,5,0,0
80,42,3,0,0
80,42,5,0,0
80,1000042,3,0,0
80,1000042,5,0,0
80,2000042,3,0,0
80,2000042,5,0,0
80,3000042,3,0,0
80,3000042,5,0,0
80,4000042,3,0,0
80,4000042,5,0,0
